Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
2019-01-02 00:00:00-05:00,37.1662769799991,38.1164913705357,37.0079073046783,37.8933334350586,148158800,0,0,AAPL
2019-01-02 00:00:00-05:00,94.5324098782934,96.6215209467692,93.9531549716534,96.0232772827148,35329300,0,0,MSFT
2019-01-02 00:00:00-05:00,51.3600006103516,53.0395011901856,51.2639999389648,52.734001159668,31868000,0,0,GOOGL
2019-01-02 00:00:00-05:00,73.2600021362305,77.6679992675781,73.046501159668,76.9564971923828,159662000,0,0,AMZN
2019-01-02 00:00:00-05:00,32.4091592373991,34.3541048200876,32.2627929992369,33.7934455871582,50875200,0,0,NVDA
2019-01-02 00:00:00-05:00,128.990005493164,137.509994506836,128.559997558594,135.679992675781,28146200,0,0,META
2019-01-02 00:00:00-05:00,20.4066677093506,21.0086669921875,19.9200000762939,20.6746673583984,174879000,0,0,TSLA
2019-01-02 00:00:00-05:00,105.899792264887,106.490225245746,104.017784498953,105.982818603516,4247100,0,0,LLY
2019-01-02 00:00:00-05:00,125.64146322284,129.256076781475,125.254880004113,128.463562011719,8788000,0,0,V
2019-01-02 00:00:00-05:00,31.9749665876106,32.4607734068808,31.7983086434751,32.2576179504395,5273100,0,0,TSM
2019-01-02 00:00:00-05:00,228.135454853719,229.3925334516,224.848443110258,226.729400634766,4063600,0,0,UNH
2019-01-02 00:00:00-05:00,211.807641917822,216.786837158616,209.798937268663,215.773971557617,3034600,0,0,AVGO
2019-01-02 00:00:00-05:00,19.6691887597749,19.9719224621032,19.6563960723505,19.9506034851074,2595800,0,0,NVO
2019-01-02 00:00:00-05:00,82.4474892881284,85.7385163332853,82.4389012524691,85.3346557617188,15670900,0,0,JPM
2019-01-02 00:00:00-05:00,84.644249837983,86.5008094639883,84.644249837983,86.214469909668,8152700,0,0,WMT
2019-01-02 00:00:00-05:00,52.1505960520372,54.1018911944271,52.0809098936137,53.9625129699707,16727200,0,0,XOM
2019-01-02 00:00:00-05:00,180.74514236181,185.598606519165,180.23936694703,184.548156738281,4294000,0,0,MA
2019-01-02 00:00:00-05:00,111.911203478953,112.12955827333,110.295372669634,111.579299926758,7631700,0,0,JNJ
2019-01-02 00:00:00-05:00,80.2079437788074,80.525145900115,79.2387180625357,80.42822265625,9843900,0,0,PG
2019-01-02 00:00:00-05:00,40.9814076384726,41.7737645616935,40.9537684249907,41.6632041931152,14320400,0,0,ORCL
2019-01-02 00:00:00-05:00,151.051816360525,154.140306499921,150.464374559675,153.454971313477,4242900,0,0,HD
2019-01-02 00:00:00-05:00,219.910003662109,226.169998168945,219,224.570007324219,2784100,0,0,ADBE
2019-01-02 00:00:00-05:00,146.302223023216,149.118646308208,145.884972985475,148.2177734375,602500,0,0,ASML
2019-01-02 00:00:00-05:00,86.146325783152,89.6294207004373,85.9537141298549,88.8348922729492,6384800,0,0,CVX
2019-01-02 00:00:00-05:00,187.712729329896,192.019361253213,187.104190036345,191.701034545898,2143100,0,0,COST
2019-01-02 00:00:00-05:00,114.680000305176,116.529998779297,114.680000305176,116.279998779297,169900,0,0,TM
2019-01-02 00:00:00-05:00,62.0932402188333,62.6705442539938,61.5241788624769,62.3406524658203,15120125,0,0,MRK
2019-01-02 00:00:00-05:00,40.4756662350331,40.7171083285785,40.148000226308,40.4670448303223,11603700,0,0,KO
2019-01-02 00:00:00-05:00,72.2379368588293,72.2537749496313,70.0052432522294,70.6465530395508,6908400,0,0,ABBV
2019-01-02 00:00:00-05:00,21.4907733954318,22.4367953387051,21.4283004891202,22.2761497497559,71836300,0,0,BAC
2019-01-02 00:00:00-05:00,95.4738230686633,96.234810322239,94.6690980006151,95.587532043457,4835400,0,0,PEP
2019-01-02 00:00:00-05:00,77.6606189161502,79.2277778297409,77.4885005606457,79.0647201538086,346300,0,0,FMX
2019-01-02 00:00:00-05:00,133.399993896484,136.830001831055,133.050003051758,135.550003051758,4783900,0,0,CRM
2019-01-02 00:00:00-05:00,46.604422128284,48.0177764072482,46.4836245340346,47.788257598877,3918326,0,0,SHEL
2019-01-02 00:00:00-05:00,129.529753360139,131.636847025767,128.923739154886,131.077438354492,2059300,0,0,ACN
2019-01-02 00:00:00-05:00,259.279998779297,269.75,256.579986572266,267.660003662109,11679500,0,0,NFLX
2019-01-02 00:00:00-05:00,157.186850883047,157.984389212823,156.07566819974,157.769317626953,2571500,0,0,MCD
2019-01-02 00:00:00-05:00,18.0100002288818,19,17.9799995422363,18.8299999237061,87148700,0,0,AMD
2019-01-02 00:00:00-05:00,142.258420221942,146.548508058102,142.249159473133,145.658981323242,1716400,0,0,LIN
2019-01-02 00:00:00-05:00,62.516117178111,63.0049828620831,61.9679872119705,62.2642707824707,1752566,0,0,NVS
2019-01-02 00:00:00-05:00,33.0350291459659,33.2802509788281,32.921174720324,33.1050910949707,3594000,0,0,AZN
2019-01-02 00:00:00-05:00,36.330742037202,37.1212897123784,36.2705920625386,36.9064674377441,23833500,0,0,CSCO
2019-01-02 00:00:00-05:00,217.401222473567,218.815222996536,213.663496860511,216.96614074707,2725100,0,0,TMO
2019-01-02 00:00:00-05:00,134.130004882813,137.748992919922,133.029998779297,136.699996948242,16708400,0,0,BABA
2019-01-02 00:00:00-05:00,40.08388829658,41.4008325559785,39.9181815106528,41.0606956481934,18774600,0,0,INTC
2019-01-02 00:00:00-05:00,22,22.3600006103516,21.5,22.2099990844727,2034100,0,0,PDD
2019-01-02 00:00:00-05:00,90.1237342665078,91.0289012004128,89.9134394355769,90.6814651489258,506300,0,0,SAP
